日期,招商银行,中国平安,贵州茅台,五粮液,长城汽车,比亚迪,中兴通讯,海康威视,伊利股份,海天味业
2020-02-27,35.22,79.79,1087.39,126.3,9.13,70.05,51.48,36.8,29.95,102.45
2020-02-28,34.2,77.72,1057.0,120.6,8.85,65.37,50.0,35.0,28.91,99.58
2020-03-02,34.75,79.58,1086.01,122.65,9.25,66.85,54.6,35.6,29.59,101.95
2020-03-03,34.62,79.49,1113.0,124.37,9.04,67.87,52.94,35.85,29.85,103.75
2020-03-04,34.78,80.58,1128.92,125.27,9.05,66.58,51.36,35.53,30.36,104.1
2020-03-05,36.23,82.45,1171.0,133.2,9.18,66.81,51.91,36.18,30.94,106.41
2020-03-06,35.41,80.91,1155.5,130.07,9.11,65.36,50.86,35.22,30.37,105.69
2020-03-09,34.18,78.14,1114.01,126.3,8.69,59.45,51.01,33.48,29.03,101.9
2020-03-10,34.68,79.18,1156.0,130.72,8.95,60.17,54.16,34.4,29.89,104.32
2020-03-11,34.45,78.15,1158.52,129.9,9.16,58.75,52.48,33.86,29.26,105.58
2020-03-12,34.16,76.65,1138.5,126.04,9.19,57.03,51.42,32.88,28.57,102.66
2020-03-13,33.41,74.71,1112.03,122.6,9.27,55.66,50.79,32.04,28.26,100.98
2020-03-16,31.67,72.0,1067.0,115.5,8.59,53.88,45.71,30.1,27.25,98.0
2020-03-17,31.73,72.14,1045.1,112.36,8.21,53.04,41.55,29.02,27.78,97.0
2020-03-18,30.82,69.87,1007.99,107.59,8.09,52.09,39.1,29.0,27.67,97.0
2020-03-19,29.31,67.81,996.0,102.11,8.21,51.36,41.75,29.03,27.84,93.4
2020-03-20,31.04,69.0,1035.28,108.51,8.39,52.52,41.88,29.08,28.35,100.04
2020-03-23,30.16,66.76,1019.0,104.51,7.8,48.15,40.83,27.18,27.51,102.38
2020-03-24,31.51,68.95,1056.0,109.05,8.58,49.73,42.55,27.84,28.35,104.02
2020-03-25,32.49,70.35,1080.1,114.0,9.06,52.25,44.85,28.85,28.64,104.11
2020-03-26,32.72,70.19,1064.92,113.89,8.9,54.27,43.1,28.32,28.38,112.0
2020-03-27,32.72,69.72,1075.5,115.81,8.95,54.78,43.39,28.4,28.69,115.13
2020-03-30,32.65,69.15,1072.0,113.23,9.03,56.23,42.74,27.48,29.03,113.79
2020-03-31,32.28,69.17,1111.0,115.2,8.89,59.97,42.8,27.9,29.86,125.17
2020-04-01,32.13,69.32,1103.0,115.0,8.48,57.12,41.48,28.98,29.3,121.8
2020-04-02,32.34,69.67,1145.0,117.19,8.3,56.59,42.7,30.45,29.23,124.38
2020-04-03,32.15,68.86,1139.79,117.52,8.16,55.0,40.97,30.78,29.43,127.9
2020-04-07,32.52,69.97,1159.95,124.14,8.32,56.31,41.7,31.13,30.19,133.85
2020-04-08,32.22,69.39,1159.76,125.28,8.21,55.32,41.13,30.59,29.93,127.3
2020-04-09,32.3,69.64,1158.5,124.98,8.27,55.65,41.12,30.09,30.15,127.48
2020-04-10,32.1,70.99,1165.0,126.52,8.08,54.57,39.29,29.4,30.2,126.8
2020-04-13,31.93,70.13,1162.3,125.0,8.08,55.8,38.5,29.16,29.86,126.85
2020-04-14,32.71,71.02,1185.1,128.45,8.13,57.92,39.53,30.22,30.52,128.5
2020-04-15,32.42,70.85,1189.6,127.91,8.09,60.14,39.49,30.03,29.98,124.9
2020-04-16,32.1,70.38,1197.1,126.1,8.02,60.01,39.2,30.1,29.8,125.32
2020-04-17,32.86,72.4,1226.0,128.82,8.09,58.8,40.0,30.24,29.95,125.95
2020-04-20,32.9,73.5,1227.3,129.31,8.11,58.86,40.7,30.87,30.5,125.26
2020-04-21,32.65,72.37,1200.0,126.47,7.97,59.37,40.38,29.99,30.03,124.99
2020-04-22,32.73,72.07,1244.5,130.3,8.04,59.43,40.6,29.98,30.33,126.42
2020-04-23,32.69,72.16,1252.26,131.09,7.99,58.25,39.97,29.9,30.73,125.85
2020-04-24,32.51,70.5,1250.56,131.4,7.91,58.73,38.85,29.73,31.2,127.08
2020-04-27,33.58,71.2,1276.0,132.7,7.87,56.98,38.85,31.08,31.03,125.65
2020-04-28,33.86,72.38,1279.13,139.0,7.75,56.98,39.16,31.0,31.42,127.8
2020-04-29,35.02,74.0,1274.9,135.5,7.82,58.0,38.74,31.17,29.29,126.49
2020-04-30,35.09,74.46,1265.7,135.77,8.06,59.96,41.09,32.06,29.24,122.93
2020-05-06,34.63,73.81,1300.0,138.21,8.26,62.18,41.92,32.2,29.17,127.19
2020-05-07,34.45,73.23,1312.0,141.91,8.19,60.09,42.21,31.58,29.06,107.71
2020-05-08,34.97,72.97,1314.61,142.9,8.39,59.78,42.49,31.84,29.44,108.72
2020-05-11,34.96,73.9,1323.01,141.85,8.64,58.88,43.04,32.02,29.22,107.34
2020-05-12,34.59,73.93,1333.0,142.9,8.61,59.13,42.22,32.16,29.13,112.47
2020-05-13,34.54,73.34,1335.95,146.0,8.62,58.99,41.76,32.05,29.48,113.18
2020-05-14,33.93,72.23,1326.59,146.3,8.4,57.69,40.68,31.21,29.0,110.32
2020-05-15,33.85,72.23,1313.0,145.22,8.25,57.96,41.17,30.88,28.48,110.4
2020-05-18,33.8,72.2,1346.21,151.19,8.19,57.18,40.21,29.9,28.68,112.8
2020-05-19,34.27,72.9,1346.11,151.42,8.22,58.22,40.43,30.35,29.0,114.19
2020-05-20,34.68,72.95,1351.0,150.85,8.15,59.01,40.45,30.03,28.72,114.18
2020-05-21,34.73,72.38,1366.1,151.68,8.1,57.15,39.3,29.61,28.58,118.09
2020-05-22,33.63,70.12,1328.2,144.25,8.02,56.03,38.38,29.96,27.89,113.32
2020-05-25,33.09,70.03,1362.9,147.03,7.88,56.52,37.08,27.98,28.5,115.98
2020-05-26,33.43,70.51,1358.0,147.81,7.95,58.3,37.53,28.38,28.62,116.41
2020-05-27,33.43,70.65,1338.0,146.16,8.02,57.3,37.0,28.32,28.73,114.35
2020-05-28,34.22,71.51,1344.0,146.16,8.0,57.48,36.3,28.41,28.44,113.66
2020-05-29,33.82,70.71,1366.6,148.2,7.99,57.41,36.05,27.47,28.45,114.9
2020-06-01,34.82,72.16,1419.5,158.59,8.16,59.33,38.55,28.7,28.92,116.44
2020-06-02,35.04,74.28,1410.71,158.77,8.1,61.0,38.64,28.62,28.84,114.84
2020-06-03,35.22,75.01,1399.3,158.24,8.4,59.93,38.7,28.56,28.76,114.34
2020-06-04,35.15,75.14,1407.99,158.85,8.25,60.11,38.24,28.64,28.88,114.54
2020-06-05,35.24,75.3,1425.0,160.09,8.18,63.2,38.17,28.77,28.48,115.37
2020-06-08,35.67,76.72,1406.1,160.61,8.55,62.79,38.92,29.37,30.28,113.2
2020-06-09,35.53,76.5,1416.55,162.61,8.44,61.98,38.75,29.25,30.55,113.87
2020-06-10,35.34,75.58,1423.66,162.54,8.49,61.05,38.54,29.28,29.35,114.12
2020-06-11,34.47,74.22,1400.46,160.07,8.36,62.84,38.28,28.73,28.89,113.67
2020-06-12,34.5,74.15,1416.37,161.5,8.32,61.48,38.2,28.82,29.1,115.1
2020-06-15,33.57,72.54,1383.0,157.0,8.19,62.5,37.59,28.31,28.6,114.01
2020-06-16,34.14,73.46,1403.88,157.68,8.24,64.1,40.15,28.6,28.91,116.22
2020-06-17,34.2,73.01,1405.0,155.88,8.13,64.11,39.75,29.5,29.39,115.85
2020-06-18,33.89,73.4,1413.0,158.36,8.14,66.74,42.38,30.0,29.24,116.63
2020-06-19,33.86,73.42,1439.84,165.57,8.25,66.99,42.87,30.18,29.91,119.39
2020-06-22,33.5,72.77,1439.0,163.0,8.18,68.0,42.19,29.78,30.09,117.89
2020-06-23,33.35,71.96,1474.5,167.98,8.07,71.03,39.83,30.01,30.24,121.3
2020-06-24,33.9,72.26,1460.01,168.61,8.15,71.7,39.71,30.27,30.82,123.8
2020-06-29,33.64,71.01,1463.17,167.5,7.92,70.6,39.2,29.42,30.88,124.65
2020-06-30,33.72,71.4,1462.88,171.12,7.72,71.8,40.13,30.35,31.13,124.4
2020-07-01,34.79,73.5,1494.27,181.98,7.94,72.47,39.75,32.12,31.89,125.0
2020-07-02,35.3,76.0,1544.0,189.49,8.04,72.14,40.5,33.08,31.94,124.0
2020-07-03,36.74,77.96,1541.79,188.72,8.42,79.35,42.41,33.38,31.59,124.35
2020-07-06,40.41,84.12,1600.0,192.82,8.95,80.9,44.64,35.36,33.8,124.44
2020-07-07,41.06,83.22,1688.0,201.89,8.93,83.0,45.35,35.4,33.6,128.05
2020-07-08,40.5,85.69,1681.34,203.36,9.15,82.75,46.05,35.45,34.84,127.77
2020-07-09,39.91,85.92,1706.0,203.72,9.52,84.46,47.12,38.36,35.02,128.64
2020-07-10,37.25,82.34,1713.85,207.0,9.75,89.0,44.94,36.96,34.56,130.24
2020-07-13,37.3,82.36,1781.99,218.2,10.39,97.9,46.17,37.63,35.45,131.37
2020-07-14,36.51,81.3,1762.0,220.9,10.52,96.55,44.8,36.55,35.16,130.6
2020-07-15,35.86,80.22,1752.53,223.95,10.46,94.5,42.72,36.03,35.45,134.16
2020-07-16,35.6,78.22,1614.0,201.56,10.1,85.05,40.07,34.79,33.1,127.0
2020-07-17,36.08,78.02,1648.05,205.39,10.68,81.59,40.33,35.11,34.35,130.1
2020-07-20,37.27,82.8,1636.96,201.68,10.99,87.17,41.24,35.03,33.44,130.95
2020-07-21,36.84,80.76,1668.0,205.58,11.97,88.09,40.98,34.69,34.06,135.54
2020-07-22,36.44,79.93,1678.08,208.9,11.88,87.19,41.4,36.07,36.0,135.88
2020-07-23,35.6,79.0,1676.0,210.07,12.36,88.99,39.72,35.4,35.54,140.7
2020-07-24,34.6,77.0,1595.3,201.39,13.06,83.0,37.92,33.63,34.03,137.07
2020-07-27,34.25,76.43,1622.55,204.1,14.1,83.52,38.28,36.99,33.9,144.99
2020-07-28,34.58,76.38,1670.0,214.0,13.1,83.91,38.38,36.72,35.36,146.19
2020-07-29,35.07,77.3,1672.0,214.98,13.65,86.93,39.54,37.8,35.87,148.6
2020-07-30,34.56,76.03,1680.0,216.32,13.2,85.0,38.91,37.29,36.02,147.0
2020-07-31,34.8,75.9,1678.18,217.5,13.35,85.39,39.17,36.99,36.63,150.08
2020-08-03,35.0,76.44,1668.0,217.72,14.09,86.17,39.5,38.53,38.1,149.44
2020-08-04,36.68,78.67,1669.99,215.8,13.96,89.0,38.88,38.93,37.77,148.4
2020-08-05,36.3,77.13,1668.0,217.48,14.08,88.15,39.14,39.01,37.73,149.35
2020-08-06,37.02,77.15,1637.96,211.02,14.13,88.73,38.71,38.37,37.13,150.68
2020-08-07,36.61,76.33,1631.0,207.26,14.6,85.38,38.9,38.72,36.43,152.49
2020-08-10,37.0,77.01,1633.99,205.94,15.38,81.98,38.34,37.96,36.42,152.01
2020-08-11,37.54,76.77,1642.51,209.0,14.71,81.0,38.03,39.35,36.0,153.93
2020-08-12,37.79,77.16,1626.95,206.47,14.05,81.98,38.62,40.0,35.32,153.72
2020-08-13,37.33,76.6,1635.0,206.9,14.34,81.8,38.19,39.64,34.84,153.09
2020-08-14,38.0,78.19,1661.0,212.9,14.18,81.93,38.37,39.84,35.24,155.0
2020-08-17,39.05,81.1,1690.0,219.99,14.7,82.92,40.25,40.04,35.35,155.4
2020-08-18,38.85,79.75,1705.0,220.57,14.59,82.18,39.75,39.07,36.14,158.33
2020-08-19,38.35,78.17,1687.0,222.2,14.18,79.65,38.65,38.14,34.99,163.83
2020-08-20,37.52,77.6,1664.0,216.44,13.71,78.55,38.85,37.81,34.07,164.16
2020-08-21,37.77,78.25,1676.0,218.4,13.82,79.58,38.88,37.65,34.89,165.5
2020-08-24,37.5,77.8,1696.35,225.0,13.86,81.44,38.49,38.6,35.22,165.06
2020-08-25,37.58,78.11,1727.0,235.6,13.76,81.24,38.22,38.38,35.25,167.18
2020-08-26,37.23,76.8,1727.0,236.65,13.5,83.42,38.04,37.69,35.82,172.0
2020-08-27,36.9,76.54,1731.0,238.08,13.5,85.42,38.88,36.99,36.9,183.02
2020-08-28,38.45,77.89,1757.0,240.5,13.68,85.39,38.83,37.96,40.59,180.9
2020-08-31,37.69,76.62,1786.5,240.0,13.95,85.0,39.0,37.42,41.94,183.2
2020-09-01,37.42,76.38,1801.98,236.24,15.35,93.5,38.67,37.82,41.52,188.68
2020-09-02,37.2,75.93,1795.0,235.0,15.95,94.3,38.84,38.42,41.6,198.48
2020-09-03,36.98,75.39,1793.0,238.64,15.55,92.59,37.66,38.42,41.55,185.0
2020-09-04,36.8,74.82,1770.0,230.22,15.89,90.0,37.48,37.85,40.98,170.79
2020-09-07,36.79,75.06,1723.5,226.89,16.35,94.74,36.6,36.39,40.38,161.68
2020-09-08,37.59,77.14,1711.4,221.93,16.78,91.0,36.23,36.3,39.88,168.5
2020-09-09,37.6,76.48,1688.0,217.0,16.95,85.99,34.76,36.1,39.17,158.9
2020-09-10,37.7,76.52,1705.8,223.2,17.04,87.09,32.99,35.9,38.82,160.21
2020-09-11,37.24,77.21,1733.0,227.88,17.27,91.2,33.7,36.18,38.84,161.14
2020-09-14,37.35,78.55,1766.0,230.08,17.04,92.5,33.48,36.5,39.02,159.0
2020-09-15,37.9,79.91,1760.0,230.33,17.23,101.3,33.61,37.64,39.93,162.4
2020-09-16,38.06,78.6,1725.1,226.02,18.22,105.4,33.63,37.47,39.1,160.2
2020-09-17,37.87,79.0,1670.52,222.65,19.15,115.94,33.38,36.35,38.16,157.67
2020-09-18,38.99,82.89,1695.0,229.52,19.2,115.5,33.78,36.64,39.35,158.22
2020-09-21,38.6,80.93,1666.8,224.9,18.2,105.77,34.7,36.26,38.55,157.0
2020-09-22,37.88,79.07,1665.69,222.9,17.7,106.77,34.27,36.05,38.63,155.73
2020-09-23,37.5,78.56,1649.98,219.32,17.73,110.4,34.02,36.6,38.85,158.31
2020-09-24,37.06,77.07,1629.32,216.3,17.1,106.4,33.18,36.79,37.9,156.33
2020-09-25,37.18,77.59,1635.11,217.2,17.31,105.09,33.11,36.07,38.11,157.35
2020-09-28,37.25,77.95,1661.0,220.13,18.31,106.4,32.59,36.43,38.18,156.92
2020-09-29,36.31,76.8,1652.3,219.73,18.01,107.89,32.91,37.21,38.29,158.32
2020-09-30,36.0,76.26,1668.5,221.0,19.12,116.24,33.1,38.11,38.5,162.1
2020-10-09,36.18,77.9,1696.0,227.57,19.89,120.35,33.38,38.15,40.3,163.09
2020-10-12,37.56,80.86,1750.61,241.75,21.88,128.5,34.86,38.62,41.69,172.34
2020-10-13,37.79,81.38,1739.0,242.27,24.07,129.29,35.74,39.07,41.48,172.63
2020-10-14,38.05,81.38,1729.0,239.4,23.18,130.5,35.3,39.0,41.8,171.49
2020-10-15,39.01,81.4,1725.0,238.91,22.72,131.55,34.76,39.4,41.47,171.0
2020-10-16,39.78,82.0,1712.0,236.88,22.52,127.8,34.47,38.48,41.21,168.35
2020-10-19,39.99,81.85,1699.0,236.18,22.92,128.08,34.5,39.27,40.18,163.07
2020-10-20,39.97,81.23,1734.0,240.98,25.2,140.0,34.84,39.28,41.5,169.65
2020-10-21,40.8,82.4,1733.33,241.77,24.57,137.5,34.13,39.26,41.85,168.77
2020-10-22,41.19,82.1,1742.5,241.74,24.77,143.79,33.63,39.14,42.14,168.7
2020-10-23,41.22,83.5,1715.33,236.63,24.95,138.67,33.43,39.15,40.45,164.73
2020-10-26,40.62,82.2,1643.0,232.61,23.97,139.96,33.49,42.79,41.4,162.5
2020-10-27,40.45,81.07,1625.0,233.5,23.26,140.28,33.4,44.2,41.22,164.47
2020-10-28,40.1,79.58,1664.81,239.98,24.63,151.6,34.5,44.21,42.99,165.94
2020-10-29,40.19,78.66,1676.0,250.0,24.38,158.38,33.08,44.89,44.14,167.17
2020-10-30,39.81,77.83,1670.02,244.35,23.72,159.81,32.27,44.9,39.73,160.2
2020-11-02,40.25,77.23,1674.01,245.7,24.45,167.98,31.13,45.62,37.9,161.54
2020-11-03,41.24,79.16,1695.0,250.4,25.7,164.08,31.96,45.62,39.11,160.7
2020-11-04,42.93,79.5,1699.58,253.0,27.72,168.03,31.64,46.58,39.46,162.16
2020-11-05,42.79,80.94,1721.9,259.41,28.7,184.83,34.8,48.12,39.48,168.65
2020-11-06,42.48,81.3,1700.62,259.3,28.36,190.44,35.8,49.11,38.88,169.9
2020-11-09,43.03,82.98,1742.57,270.0,27.7,190.95,38.07,48.4,39.51,168.87
2020-11-10,43.72,83.2,1745.0,272.8,26.5,182.58,36.56,48.77,38.94,167.79
2020-11-11,44.35,83.52,1731.35,268.9,24.7,164.35,35.92,47.31,39.26,167.2
2020-11-12,43.58,82.27,1734.79,267.65,25.68,169.33,36.1,48.0,39.01,164.37
2020-11-13,42.58,80.34,1705.0,265.0,25.9,175.9,35.82,47.3,38.32,162.81
2020-11-16,43.0,83.1,1730.05,273.0,24.95,170.02,35.17,48.2,38.22,162.36
2020-11-17,43.84,84.03,1715.8,269.1,25.3,167.0,35.5,46.74,37.97,160.06
2020-11-18,44.75,85.37,1693.65,263.72,25.36,167.0,35.73,45.85,38.33,161.5
2020-11-19,44.87,85.42,1720.19,264.7,24.93,161.62,36.3,48.1,39.08,163.01
2020-11-20,45.05,84.54,1719.96,268.47,26.6,176.06,36.22,47.63,39.23,164.26
2020-11-23,45.4,86.22,1790.21,272.58,27.27,184.2,35.75,46.76,39.51,162.54
2020-11-24,44.87,85.0,1763.5,271.79,26.45,184.19,36.58,46.13,38.7,163.25
2020-11-25,44.43,87.25,1726.88,262.97,27.75,183.53,35.54,45.61,37.79,159.2
2020-11-26,45.09,89.15,1734.39,260.58,26.77,175.82,35.7,46.03,38.12,160.05
2020-11-27,45.85,90.1,1737.9,262.3,27.31,174.1,34.99,47.0,38.3,161.87
2020-11-30,44.2,90.03,1713.91,254.0,27.89,172.15,34.73,45.67,37.79,159.2
2020-12-01,46.2,93.38,1737.0,257.99,27.95,176.81,35.06,45.48,38.55,165.19
2020-12-02,46.8,92.85,1738.01,260.55,26.34,169.75,35.48,44.83,38.54,166.7
2020-12-03,46.49,91.87,1749.0,261.63,25.12,171.09,35.06,45.5,38.94,171.55
2020-12-04,45.78,92.19,1793.11,267.19,25.39,171.86,34.81,45.87,39.79,181.95
2020-12-07,44.42,90.38,1812.4,270.24,25.04,175.29,33.81,44.8,40.18,181.98
2020-12-08,44.26,88.05,1850.0,272.0,25.89,177.97,33.8,44.28,40.68,183.5
2020-12-09,44.24,87.87,1840.0,269.72,25.15,173.24,32.84,43.71,40.24,184.1
2020-12-10,44.28,87.68,1832.9,267.67,24.4,169.52,32.84,45.0,39.43,190.21
2020-12-11,42.68,86.1,1820.0,267.52,24.93,167.0,32.17,44.47,39.04,186.2
2020-12-14,44.37,87.69,1829.0,273.15,26.68,170.2,32.51,45.85,40.06,194.23
2020-12-15,44.35,86.3,1816.01,270.8,27.46,174.7,32.88,46.71,40.4,196.91
2020-12-16,44.06,86.84,1840.0,274.33,27.15,171.87,32.5,46.0,40.49,199.71
2020-12-17,44.05,88.98,1865.51,277.81,26.34,171.79,32.81,44.87,41.31,196.0
2020-12-18,43.1,87.79,1845.0,276.86,28.97,176.0,32.81,45.88,40.7,189.04
2020-12-21,42.89,87.05,1842.5,281.91,31.2,193.6,32.38,45.19,41.5,194.3
2020-12-22,41.91,84.15,1881.0,282.38,30.3,184.0,31.52,44.82,40.96,193.0
2020-12-23,42.32,84.85,1841.65,278.29,33.33,186.79,31.79,45.76,41.57,195.44
2020-12-24,42.57,84.2,1830.34,275.32,32.47,183.0,31.17,47.12,40.51,195.43
2020-12-25,42.72,83.2,1830.0,275.92,33.42,185.22,31.04,47.25,40.0,201.0
2020-12-28,43.04,84.62,1873.0,285.95,35.31,187.93,30.57,47.0,41.89,196.63
2020-12-29,42.83,85.5,1867.0,281.0,33.99,178.6,33.63,46.61,41.87,197.39
2020-12-30,43.05,85.88,1933.0,286.88,37.18,186.0,33.44,46.95,43.96,199.97
2020-12-31,43.95,86.98,1998.0,291.85,37.81,194.3,33.65,48.51,44.37,200.54
2021-01-04,43.17,85.18,1997.0,298.05,38.11,206.76,34.33,49.8,47.36,200.52
2021-01-05,42.18,84.27,2059.45,319.98,38.29,219.9,34.51,54.78,50.93,201.26
2021-01-06,44.15,85.74,2100.0,328.3,37.62,216.3,33.63,55.42,50.56,206.62
2021-01-07,45.9,86.26,2140.0,330.0,41.38,225.04,32.67,58.29,51.69,214.58
2021-01-08,46.6,86.1,2090.0,317.0,42.5,227.51,33.9,57.34,49.27,214.25
2021-01-11,48.42,84.03,2099.73,301.2,46.12,234.86,34.93,59.0,48.64,207.0
2021-01-12,49.7,87.82,2160.9,310.0,48.77,236.99,35.32,61.25,49.67,211.26
2021-01-13,49.4,87.54,2164.0,305.33,49.81,239.3,36.72,59.91,48.59,213.0
2021-01-14,49.05,85.27,2134.0,289.4,44.83,223.95,35.91,57.24,46.95,214.98
2021-01-15,51.14,86.9,2082.0,287.7,43.51,225.2,35.1,58.9,46.65,204.6
2021-01-18,51.92,87.2,2063.0,284.55,41.2,221.69,36.33,59.78,47.51,203.43
2021-01-19,51.85,86.8,2009.41,281.5,39.96,216.2,35.86,60.59,46.14,200.19
2021-01-20,51.72,85.2,2040.63,284.85,40.5,222.0,35.87,60.4,46.16,200.81
2021-01-21,52.64,84.44,2070.0,296.95,40.85,235.52,35.32,63.2,46.25,203.02
2021-01-22,51.64,83.8,2079.95,295.56,39.37,242.92,33.88,66.74,46.04,202.99
2021-01-25,52.11,84.88,2175.0,315.69,43.31,260.0,35.7,67.65,48.83,208.48
2021-01-26,51.4,83.0,2141.89,305.78,44.24,254.22,34.03,65.1,46.99,204.75
2021-01-27,52.0,83.04,2089.0,292.58,42.21,257.0,33.92,69.08,46.21,199.6
2021-01-28,51.61,80.92,2088.0,286.0,40.98,244.36,32.52,63.95,44.04,199.29
2021-01-29,51.1,79.08,2116.18,291.14,41.92,247.0,32.19,63.0,44.2,197.15
2021-02-01,52.4,79.27,2109.32,292.29,39.88,246.89,32.32,63.66,44.25,195.08
2021-02-02,51.97,78.18,2145.0,304.12,43.87,267.5,31.72,64.48,44.98,199.03
2021-02-03,53.05,76.54,2189.91,308.75,41.35,263.0,31.94,59.9,43.28,196.0
2021-02-04,53.5,79.62,2320.85,313.6,40.04,259.9,31.49,60.78,43.73,194.0
2021-02-05,54.74,79.72,2313.0,319.76,38.13,249.0,30.89,59.64,44.15,192.51
2021-02-08,55.26,78.57,2368.8,320.0,40.25,250.2,30.92,59.88,45.72,194.9
2021-02-09,55.26,78.13,2456.43,329.5,40.9,257.0,31.7,62.5,46.02,206.4
2021-02-10,54.55,79.25,2601.0,342.65,42.46,266.95,32.21,66.0,46.49,206.11
2021-02-18,55.69,82.38,2471.0,333.5,41.6,258.99,32.46,61.31,45.8,188.8
2021-02-19,55.2,84.2,2460.0,344.4,40.75,257.35,32.95,61.68,48.24,191.18
2021-02-22,54.2,83.0,2288.02,313.06,38.43,239.52,32.7,58.64,46.58,183.03
2021-02-23,55.55,84.32,2307.0,315.0,35.48,225.0,32.35,58.36,45.01,182.8
2021-02-24,53.6,83.78,2189.0,293.08,33.39,208.99,32.08,56.06,44.2,177.19
2021-02-25,54.45,87.14,2150.0,288.9,32.35,209.25,31.98,56.98,44.1,175.68
2021-02-26,51.1,85.18,2122.78,280.0,31.37,197.27,31.76,55.56,43.22,172.7
2021-03-01,50.39,84.84,2158.0,289.02,31.83,210.9,32.07,58.23,43.8,172.48
2021-03-02,49.55,83.23,2058.0,280.7,31.36,211.4,32.15,59.41,43.0,169.63
2021-03-03,52.77,86.75,2140.0,285.3,31.87,209.75,32.33,59.68,43.67,171.16
2021-03-04,52.4,86.3,2033.0,266.31,30.41,198.5,31.63,57.95,41.5,164.5
2021-03-05,51.4,84.5,2060.11,266.5,31.5,196.37,31.71,58.2,41.46,166.5
2021-03-08,49.93,84.95,1960.0,244.5,28.77,176.73,31.59,56.1,39.8,158.55
2021-03-09,48.5,84.05,1936.99,242.5,29.45,170.68,30.87,53.48,37.95,153.67
2021-03-10,49.25,83.28,1970.01,252.6,30.73,177.19,30.76,54.34,38.42,154.3
2021-03-11,51.97,86.36,2048.0,265.04,30.88,182.97,31.4,56.62,39.3,157.6
2021-03-12,53.32,85.55,2026.0,264.45,30.6,181.68,30.94,55.8,39.48,155.4
2021-03-15,53.11,85.11,1975.45,251.01,29.55,174.26,28.22,53.99,38.28,149.3
